AID,BIO_SEX,IMONTH,IDAY,IYEAR,H1GI1M,H1GI1Y,H1GI4,H1GI6A,H1GI6B,H1GI6C,H1GI6D,H1GI6E,H1GI8,H1GI9,H1NM4,H1NF4,H1RM1,H1RF1
90571418,2,6,6,95,4,78,0,1,0,0,0,0,7,1,97,97,9,6
90571461,1,7,12,95,11,76,0,1,0,0,0,0,7,1,97,5,7,6
90571462,1,8,29,95,11,77,0,1,0,0,0,0,7,1,97,97,4,5
90571471,2,7,13,95,1,77,0,1,0,0,0,0,7,1,97,4,4,97
90571472,2,8,25,95,2,76,0,1,0,0,0,0,7,1,97,97,4,2
90571506,2,6,14,95,2,78,1,0,0,0,0,1,7,5,97,4,5,97
90571805,2,5,8,95,8,81,0,1,0,0,0,0,7,1,97,97,4,4
90571807,1,5,18,95,4,82,0,1,0,0,0,0,7,1,97,97,4,4
90571816,2,5,10,95,12,80,0,1,0,0,0,0,7,1,97,97,7,7
90571861,2,5,11,95,6,77,0,1,0,0,0,0,7,1,97,2,4,7
90571907,1,8,1,95,2,81,0,1,0,0,0,0,7,1,4,97,97,4
90571913,2,6,11,95,5,77,0,1,0,0,0,0,7,1,97,97,8,7
90571914,2,7,6,95,9,81,0,1,0,0,0,0,7,1,97,97,4,4
90571971,2,7,14,95,9,80,1,0,0,0,0,1,7,5,97,97,1,1
90571979,2,9,28,95,10,76,0,1,0,0,0,0,7,1,97,2,2,97
90572007,2,7,18,95,10,79,0,1,0,0,0,0,7,1,97,97,8,8
90572049,1,7,8,95,6,79,0,1,0,0,0,0,7,1,97,97,7,4
90572060,2,7,21,95,3,78,0,1,0,0,0,0,7,1,97,4,4,4
90572070,1,5,18,95,2,80,0,1,0,0,0,0,7,1,97,4,4,8
90572141,1,6,26,95,4,77,0,1,0,0,0,0,7,1,4,97,97,7
90572147,1,7,3,95,10,77,0,1,0,0,0,0,7,1,97,5,7,97
90572169,1,6,28,95,11,80,0,1,0,0,0,0,7,1,97,2,7,97
